# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                rk12	                rk23	                rk34	                rk45	      exact solution	              time12	              time23	              time34	              time45	                time	
            0.124624	            0.074851	           0.0742725	           0.0761339	           0.0742736	             2.55163	                3.25	                3.25	                3.25	                3.25	
            0.119732	           0.0712111	           0.0706502	           0.0724553	           0.0706512	              2.6007	              3.3125	              3.3125	              3.3125	              3.3125	
            0.115032	           0.0677481	           0.0672045	           0.0689544	           0.0672055	             2.64977	               3.375	               3.375	               3.375	               3.375	
            0.110516	           0.0644536	           0.0639269	           0.0656227	           0.0639279	             2.69884	              3.4375	              3.4375	              3.4375	              3.4375	
            0.106178	           0.0613193	           0.0608091	           0.0624519	           0.0608101	             2.74791	                 3.5	                 3.5	                 3.5	                 3.5	
            0.102009	           0.0583374	           0.0578434	           0.0594344	           0.0578443	             2.79698	              3.5625	              3.5625	              3.5625	              3.5625	
            0.098005	           0.0555005	           0.0550224	           0.0565626	           0.0550232	             2.84605	               3.625	               3.625	               3.625	               3.625	
           0.0941578	           0.0528016	           0.0523389	           0.0538296	           0.0523397	             2.89512	              3.6875	              3.6875	              3.6875	              3.6875	
           0.0904615	           0.0502339	           0.0497863	           0.0512287	           0.0497871	             2.94419	                3.75	                3.75	                3.75	                3.75	
           0.0869104	           0.0477911	           0.0473581	           0.0487534	           0.0473589	             2.99326	              3.8125	              3.8125	              3.8125	              3.8125	
           0.0834986	           0.0454671	           0.0450484	           0.0463978	           0.0450492	             3.04233	               3.875	               3.875	               3.875	               3.875	
           0.0802208	           0.0432561	           0.0428514	           0.0441559	           0.0428521	              3.0914	              3.9375	              3.9375	              3.9375	              3.9375	
           0.0770717	           0.0411526	           0.0407615	           0.0420224	           0.0407622	             3.14047	                   4	                   4	                   4	                   4	
           0.0740461	           0.0391514	           0.0387735	            0.039992	           0.0387742	             3.18954	              4.0625	              4.0625	              4.0625	              4.0625	
           0.0711394	           0.0372475	           0.0368825	           0.0380596	           0.0368832	             3.23861	               4.125	               4.125	               4.125	               4.125	
           0.0683468	           0.0354362	           0.0350837	           0.0362207	           0.0350844	             3.28768	              4.1875	              4.1875	              4.1875	              4.1875	
           0.0656637	           0.0337129	           0.0333727	           0.0344706	           0.0333733	             3.33675	                4.25	                4.25	                4.25	                4.25	
           0.0630861	           0.0320735	            0.031745	            0.032805	           0.0317456	             3.38582	              4.3125	              4.3125	              4.3125	              4.3125	
           0.0606096	           0.0305138	           0.0301968	           0.0312199	           0.0301974	             3.43489	               4.375	               4.375	               4.375	               4.375	
           0.0582303	             0.02903	           0.0287241	           0.0297115	           0.0287246	             3.48396	              4.4375	              4.4375	              4.4375	              4.4375	
           0.0559444	           0.0276183	           0.0273232	           0.0282759	           0.0273237	             3.53303	                 4.5	                 4.5	                 4.5	                 4.5	
           0.0537482	           0.0262752	           0.0259906	           0.0269096	           0.0259911	              3.5821	              4.5625	              4.5625	              4.5625	              4.5625	
           0.0516383	           0.0249975	            0.024723	           0.0256094	           0.0247235	             3.63117	               4.625	               4.625	               4.625	               4.625	
           0.0496112	           0.0237819	           0.0235173	            0.024372	           0.0235177	             3.68024	              4.6875	              4.6875	              4.6875	              4.6875	
           0.0476637	           0.0226254	           0.0223703	           0.0231944	           0.0223708	             3.72931	                4.75	                4.75	                4.75	                4.75	
           0.0457926	           0.0215252	           0.0212793	           0.0220737	           0.0212797	             3.77838	              4.8125	              4.8125	              4.8125	              4.8125	
            0.043995	           0.0204784	           0.0202415	           0.0210072	           0.0202419	             3.82745	               4.875	               4.875	               4.875	               4.875	
           0.0422679	           0.0194826	           0.0192543	           0.0199921	           0.0192547	             3.87652	              4.9375	              4.9375	              4.9375	              4.9375	
