# rk methods' comparison!
## Solutions with Parameters: t0 = 0.000000, t1 = 5.000000, dt = 0.062500, y0 = 1.000000
                  ab	                abm1	                abm2	                abm3	                abm4	                abm5	                abm6	      exact solution	                time	

           -0.205375	           -0.205375	           -0.205375	           -0.205375	           -0.205375	           -0.205375	           -0.205375	                   3	
           -0.191135	           -0.191135	           -0.191135	           -0.191135	           -0.191135	           -0.191135	           -0.191135	              3.0625	
           -0.176521	           -0.176517	           -0.176517	           -0.176517	           -0.176517	           -0.176517	           -0.176517	               3.125	
           -0.161656	           -0.161638	           -0.161638	           -0.161638	           -0.161638	           -0.161638	           -0.161638	              3.1875	
           -0.146591	           -0.146604	           -0.146604	           -0.146604	           -0.146604	           -0.146604	           -0.146604	                3.25	
           -0.131543	           -0.131521	           -0.131521	           -0.131521	           -0.131521	           -0.131521	           -0.131521	              3.3125	
           -0.116483	           -0.116484	           -0.116484	           -0.116484	           -0.116484	           -0.116484	           -0.116484	               3.375	
           -0.101594	           -0.101585	           -0.101585	           -0.101585	           -0.101585	           -0.101585	           -0.101585	              3.4375	
          -0.0869145	          -0.0869083	          -0.0869083	          -0.0869083	          -0.0869083	          -0.0869083	          -0.0869083	                 3.5	
          -0.0725378	          -0.0725312	          -0.0725312	          -0.0725312	          -0.0725312	          -0.0725312	          -0.0725312	              3.5625	
          -0.0585326	           -0.058526	           -0.058526	           -0.058526	           -0.058526	           -0.058526	           -0.058526	               3.625	
          -0.0449648	          -0.0449583	          -0.0449583	          -0.0449583	          -0.0449583	          -0.0449583	          -0.0449583	              3.6875	
           -0.031894	          -0.0318875	          -0.0318875	          -0.0318875	          -0.0318875	          -0.0318875	          -0.0318875	                3.75	
          -0.0193732	          -0.0193666	          -0.0193666	          -0.0193666	          -0.0193666	          -0.0193666	          -0.0193666	              3.8125	
         -0.00744922	         -0.00744268	         -0.00744268	         -0.00744268	         -0.00744268	         -0.00744268	         -0.00744268	               3.875	
          0.00383724	          0.00384378	          0.00384378	          0.00384378	          0.00384378	          0.00384378	          0.00384378	              3.9375	
           0.0144518	           0.0144584	           0.0144584	           0.0144584	           0.0144584	           0.0144584	           0.0144584	                   4	
           0.0243664	           0.0243729	           0.0243729	           0.0243729	           0.0243729	           0.0243729	           0.0243729	              4.0625	
           0.0335591	           0.0335656	           0.0335656	           0.0335656	           0.0335656	           0.0335656	           0.0335656	               4.125	
           0.0420143	           0.0420203	           0.0420203	           0.0420203	           0.0420203	           0.0420203	           0.0420203	              4.1875	
           0.0497227	           0.0497268	           0.0497268	           0.0497268	           0.0497268	           0.0497268	           0.0497268	                4.25	
           0.0566724	           0.0566799	           0.0566799	           0.0566799	           0.0566799	           0.0566799	           0.0566799	              4.3125	
           0.0628777	           0.0628796	           0.0628796	           0.0628796	           0.0628796	           0.0628796	           0.0628796	               4.375	
           0.0683246	           0.0683306	           0.0683306	           0.0683306	           0.0683306	           0.0683306	           0.0683306	              4.4375	
           0.0730391	           0.0730419	           0.0730419	           0.0730419	           0.0730419	           0.0730419	           0.0730419	                 4.5	
           0.0770229	           0.0770265	           0.0770265	           0.0770265	           0.0770265	           0.0770265	           0.0770265	              4.5625	
           0.0802984	           0.0803012	           0.0803012	           0.0803012	           0.0803012	           0.0803012	           0.0803012	               4.625	
            0.082884	           0.0828864	           0.0828864	           0.0828864	           0.0828864	           0.0828864	           0.0828864	              4.6875	
           0.0848034	           0.0848053	           0.0848053	           0.0848053	           0.0848053	           0.0848053	           0.0848053	                4.75	
           0.0860828	           0.0860843	           0.0860843	           0.0860843	           0.0860843	           0.0860843	           0.0860843	              4.8125	
           0.0867508	           0.0867519	           0.0867519	           0.0867519	           0.0867519	           0.0867519	           0.0867519	               4.875	
           0.0868385	           0.0868392	           0.0868392	           0.0868392	           0.0868392	           0.0868392	           0.0868392	              4.9375	
           0.0863785	           0.0863788	           0.0863788	           0.0863788	           0.0863788	           0.0863788	           0.0863788	                   5	
           0.0854052	            0.085405	            0.085405	            0.085405	            0.085405	            0.085405	            0.085405	              5.0625	
           0.0839542	           0.0839535	           0.0839535	           0.0839535	           0.0839535	           0.0839535	           0.0839535	               5.125	
           0.0820618	           0.0820608	           0.0820608	           0.0820608	           0.0820608	           0.0820608	           0.0820608	              5.1875	
           0.0797654	           0.0797639	           0.0797639	           0.0797639	           0.0797639	           0.0797639	           0.0797639	                5.25	
All set!
